"","Amamu1","Canalb1","Neucr4830_1","Neucr_trp3_1","SacceM3707_1","SacceM3836_1","SacceM3837_1","SacceM3838_1","SacceM3839_1"
"1.5.1.12",5.07485409794468,0,0,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.5.1.15",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.5.1.2",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.5.1.20",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.5.1.3",10.1497081958894,23.3190827827439,13.2275132275132,9.70873786407767,25.0469630557295,25.062656641604,25.1177394034537,24.9765844520762,25.1098556183302
"1.5.1.7",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.5.3.-",2.53742704897234,0,0,4.85436893203883,0,0,0,0,0
"1.5.3.1",2.53742704897234,0,0,0,0,0,0,0,0
"1.5.5.1",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.6.1.2",2.53742704897234,0,3.30687830687831,2.42718446601942,0,0,0,0,0
"1.6.2.2",5.07485409794468,19.4325689856199,16.5343915343915,7.28155339805825,15.6543519098309,15.6641604010025,15.6985871271586,15.6103652825476,15.6936597614564
"1.6.2.4",7.61228114691703,7.77302759424796,6.61375661375661,7.28155339805825,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.6.5.3",15.2245622938341,0,0,14.5631067961165,0,0,0,0,0
"1.6.5.5",22.8368434407511,11.6595413913719,23.1481481481481,21.8446601941748,15.6543519098309,15.6641604010025,15.6985871271586,15.6103652825476,15.6936597614564
"1.6.99.1",12.6871352448617,27.2055965798679,3.30687830687831,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.6.99.3",12.6871352448617,0,6.61375661375661,16.9902912621359,9.39261114589856,9.3984962406015,9.41915227629513,9.36621916952857,9.41619585687382
"1.7.3.3",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,0,0,0,0,0
"1.8.1.2",5.07485409794468,15.5460551884959,13.2275132275132,0,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"1.8.1.4",10.1497081958894,15.5460551884959,13.2275132275132,9.70873786407767,25.0469630557295,25.062656641604,25.1177394034537,24.9765844520762,25.1098556183302
"1.8.4.-",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.8.4.6",2.53742704897234,0,0,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"1.9.3.1",17.7619893428064,0,0,16.9902912621359,28.1778334376957,28.1954887218045,28.2574568288854,28.0986575085857,28.2485875706215
"2.-.-.-",2.53742704897234,0,0,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.1.1.-",223.293580309566,310.921103769918,291.005291005291,252.427184466019,250.469630557295,250.62656641604,251.177394034537,249.765844520762,251.098556183302
"2.1.1.100",12.6871352448617,7.77302759424796,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.107",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.14",2.53742704897234,3.88651379712398,9.92063492063492,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.17",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.2",7.61228114691703,0,0,7.28155339805825,9.39261114589856,9.3984962406015,9.41915227629513,9.36621916952857,9.41619585687382
"2.1.1.32",2.53742704897234,0,0,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.33",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.37",5.07485409794468,0,16.5343915343915,2.42718446601942,0,0,0,0,0
"2.1.1.41",2.53742704897234,7.77302759424796,9.92063492063492,7.28155339805825,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.43",10.1497081958894,31.0921103769918,33.0687830687831,12.1359223300971,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.1.1.45",7.61228114691703,11.6595413913719,9.92063492063492,7.28155339805825,9.39261114589856,9.3984962406015,9.41915227629513,9.36621916952857,9.41619585687382
"2.1.1.56",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.61",2.53742704897234,0,0,0,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.62",2.53742704897234,7.77302759424796,0,0,0,0,0,0,0
"2.1.1.64",2.53742704897234,0,0,0,0,0,0,0,0
"2.1.1.71",2.53742704897234,0,0,0,0,0,0,0,0
"2.1.1.72",2.53742704897234,0,0,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.1.77",2.53742704897234,0,16.5343915343915,2.42718446601942,0,0,0,0,0
"2.1.1.79",5.07485409794468,3.88651379712398,9.92063492063492,4.85436893203883,0,0,0,0,0
"2.1.1.98",2.53742704897234,7.77302759424796,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.1.2.1",38.0614057345851,38.8651379712398,33.0687830687831,24.2718446601942,31.3087038196619,31.328320802005,31.3971742543171,31.2207305650952,31.3873195229127
"2.1.2.10",15.2245622938341,11.6595413913719,9.92063492063492,14.5631067961165,18.7852222917971,18.796992481203,18.8383045525903,18.7324383390571,18.8323917137476
"2.1.2.11",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.1.2.2",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.1.2.9",7.61228114691703,11.6595413913719,9.92063492063492,0,9.39261114589856,9.3984962406015,9.41915227629513,9.36621916952857,9.41619585687382
"2.1.3.3",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.2.1.1",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"2.2.1.2",2.53742704897234,3.88651379712398,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.3.-.-",2.53742704897234,3.88651379712398,6.61375661375661,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.3.1.-",362.852068003045,202.098717450447,128.968253968254,315.533980582524,447.714464621165,529.448621553885,489.795918367347,527.630346550109,530.445699937225
"2.3.1.1",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,0,0,0,0,0
"2.3.1.12",10.1497081958894,15.5460551884959,13.2275132275132,9.70873786407767,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"2.3.1.15",2.53742704897234,0,0,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.3.1.16",50.7485409794468,58.2977069568597,49.6031746031746,48.5436893203883,15.6543519098309,15.6641604010025,15.6985871271586,15.6103652825476,15.6936597614564
"2.3.1.24",10.1497081958894,15.5460551884959,13.2275132275132,9.70873786407767,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,12.5549278091651
"2.3.1.26",2.53742704897234,3.88651379712398,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.3.1.31",20.2994163917787,15.5460551884959,13.2275132275132,9.70873786407767,12.5234815278647,12.531328320802,12.5588697017268,12.4882922260381,6.27746390458255
"2.3.1.37",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.3.1.4",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.3.1.47",2.53742704897234,0,0,0,0,0,0,0,0
"2.3.1.48",78.6602385181426,23.3190827827439,16.5343915343915,128.640776699029,21.9160926737633,18.796992481203,21.978021978022,18.7324383390571,18.8323917137476
"2.3.1.50",5.07485409794468,7.77302759424796,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.3.1.51",2.53742704897234,7.77302759424796,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.3.1.57",2.53742704897234,0,3.30687830687831,2.42718446601942,0,0,0,0,0
"2.3.1.61",5.07485409794468,7.77302759424796,6.61375661375661,9.70873786407767,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.3.1.7",10.1497081958894,11.6595413913719,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.3.1.88",2.53742704897234,15.5460551884959,19.8412698412698,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.3.1.9",22.8368434407511,34.9786241741158,59.5238095238095,21.8446601941748,28.1778334376957,28.1954887218045,28.2574568288854,28.0986575085857,28.2485875706215
"2.3.1.97",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.3.2.2",25.3742704897234,0,0,24.2718446601942,15.6543519098309,15.6641604010025,15.6985871271586,15.6103652825476,15.6936597614564
"2.3.2.5",2.53742704897234,0,3.30687830687831,4.85436893203883,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.3.2.8",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.3.3.1",7.61228114691703,3.88651379712398,6.61375661375661,4.85436893203883,9.39261114589856,9.3984962406015,9.41915227629513,9.36621916952857,9.41619585687382
"2.4.1.-",251.205277848262,1624.56276719782,654.761904761905,400.485436893204,723.231058234189,723.684210526316,725.274725274725,721.1988760537,725.047080979284
"2.4.1.1",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.4.1.109",7.61228114691703,19.4325689856199,9.92063492063492,7.28155339805825,21.9160926737633,21.9298245614035,21.978021978022,21.8545113955667,21.9711236660389
"2.4.1.11",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.4.1.117",2.53742704897234,3.88651379712398,3.30687830687831,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.4.1.119",12.6871352448617,0,0,14.5631067961165,25.0469630557295,25.062656641604,25.1177394034537,24.9765844520762,25.1098556183302
"2.4.1.130",7.61228114691703,0,0,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.4.1.131",12.6871352448617,3.88651379712398,6.61375661375661,4.85436893203883,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
"2.4.1.132",2.53742704897234,0,0,2.42718446601942,3.13087038196619,3.1328320802005,3.13971742543171,3.12207305650952,3.13873195229127
"2.4.1.141",5.07485409794468,7.77302759424796,9.92063492063492,2.42718446601942,6.26174076393237,6.265664160401,6.27943485086342,6.24414611301904,6.27746390458255
